POSTAL,POVERTY.PERCENT,DAYSPOWEROUTLONGERTHAN32606,WHITE,BLACK,LATINO,BA.PERCENT,HS.PERCENT,UNEMPL,RENTERS.PERCENT,AVGVALUE,COST,AGE,PPL.HOUSE,AVGINCOME
32641,30.6,3.3,3518,9979,407,12,82,17.1,39,97700,88,35,2.8,27798
32609,32.8,4.1,8742,8206,986,21,83,14.5,45,93300,88.1,36,2.4,32603
32601,46.9,3.3,11531,3671,1736,43,93,12,74,116000,89.8,24,2.3,34206
32607,35.4,2.3,17777,5981,3441,44,93,6.9,66,170400,90.4,25,2.5,51942
32608,29.4,2.2,28079,6526,4838,54,94,6.5,62,208400,90.7,28,2.4,63363
32605,12.1,4.4,17301,2159,1774,57,98,3.6,29,171600,87.9,40,2.4,65834
32606,10.1,0,15652,2235,1982,56,95,5.1,51,197600,89.2,37,2.5,69026
32653,12.6,2.4,9221,1793,896,44,96,7.3,22,174300,86.7,40,2.5,70217
