ADDRESS,POSTAL,POWER OUT TIME,POWER RESTORE TIME,POWER DURATION
6102 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2900 NW 54TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3636 NW 68TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6426 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3760 NW 56TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3643 NW 64TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
4033 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
5932 NW 27TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5815 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5806 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6725 NW 34TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6316 NW 35TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
"6220 NW 43RD ST, BD 2 PHOTOVOLTAIC METER",32653,9/11/17 1:06,9/11/17 13:22,12:15
5611 NW 26TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6422 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6512 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6151 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6249 NW 36TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6218 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3645 NW 68TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6733 NW 34TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
3702 NW 55TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3741 NW 56TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3402 NW 54TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3763 NW 55TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3017 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6222 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3137 NW 57TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6511 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6606 NW 31ST TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6325 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6121 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6025 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6606 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
4012 NW 60TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6410 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5800 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6706 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5510 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6011 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6107 NW 35TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2840 NW 54TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6007 NW 27TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3729 NW 58TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3213 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6110 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3745 NW 64TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6614 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3616 NW 61ST LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6018 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3738 NW 54TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6805 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
5418 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3443 NW 62ND PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5816 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2931 NW 57TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3456 NW 61ST PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6018 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5519 NW 34TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3633 NW 55TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3743 NW 56TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6329 NW 31ST TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6517 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6233 NW 36TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6416 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5601 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6426 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5911 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3709 NW 62ND PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3333 NW 54TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
4115 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6417 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6326 NW 39TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3000 NW 67TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6614 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6712 NW 34TH WAY,32653,9/11/17 1:06,9/11/17 13:22,12:15
5915 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
2845 NW 55TH BLVD,32653,9/11/17 1:06,9/11/17 13:22,12:15
5729 NW 26TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3615 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6711 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5515 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6739 NW 34TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6503 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6130 NW 27TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6409 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6407 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
3708 NW 54TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3740 NW 61ST PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3002 NW 62ND AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
5610 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6022 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3625 NW 68TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
"6716 NW 34TH WAY, PUMP",32653,9/11/17 1:06,9/11/17 13:22,12:15
6111 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6705 NW 34TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3606 NW 61ST PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6021 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6221 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6232 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6514 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3748 NW 54TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
5526 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6045 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6306 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6506 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3947 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3135 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
"3650 NW 62ND PL, ENTRANCE",32653,9/11/17 1:06,9/11/17 13:22,12:15
6252 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5425 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
2915 NW 55TH BLVD,32653,9/11/17 1:06,9/11/17 13:22,12:15
5806 NW 27TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6414 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6330 NW 29TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6101 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6704 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
2711 NW 57TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6007 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5800 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
3136 NW 62ND AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6026 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3430 NW 60TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
5912 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3111 NW 54TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6626 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6523 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
5712 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6702 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6707 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6410 NW 36TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3423 NW 67TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3622 NW 61ST LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
3018 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3410 NW 62ND PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5930 NW 38TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6722 NW 35TH WAY,32653,9/11/17 1:06,9/11/17 13:22,12:15
6524 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6222 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
6314 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
5924 NW 30TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3724 NW 56TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
6736 NW 37TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3624 NW 64TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
6714 NW 35TH WAY,32653,9/11/17 1:06,9/11/17 13:22,12:15
3506 NW 63RD PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3110 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6026 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5600 NW 33RD ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
2807 NW 57TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
3951 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6032 NW 31ST TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
2935 NW 55TH BLVD,32653,9/11/17 1:06,9/11/17 13:22,12:15
6022 NW 37TH DR,32653,9/11/17 1:06,9/11/17 13:22,12:15
5929 NW 32ND ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
5826 NW 29TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
6411 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
5909 NW 33RD TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3215 NW 68TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
3501 NW 65TH LN,32653,9/11/17 1:06,9/11/17 13:22,12:15
5825 NW 27TH ST,32653,9/11/17 1:06,9/11/17 13:22,12:15
6407 NW 31ST TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
4106 NW 59TH AV,32653,9/11/17 1:06,9/11/17 13:22,12:15
6120 NW 27TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
3007 NW 57TH PL,32653,9/11/17 1:06,9/11/17 13:22,12:15
5922 NW 28TH TER,32653,9/11/17 1:06,9/11/17 13:22,12:15
